Community District,CD Code,SBA
BK 01 - Greenpoint/Williamsburg,BK01,203
BK 02 - Fort Greene/Brooklyn Heights,BK02,204
BK 03 - Bedford Stuyvesant,BK03,205
BK 04 - Bushwick,BK04,206
BK 05 - East New York/Starrett City,BK05,207
BK 06 - Park Slope/Carroll Gardens,BK06,208
BK 07 - Sunset Park,BK07,209
BK 08 - Crown Heights/Prospect Heights,BK08,210
BK 09 - South Crown Heights/Lefferts Gardens,BK09,211
BK 10 - Bay Ridge/Dyker Heights,BK10,212
BK 11 - Bensonhurst,BK11,213
BK 12 - Borough Park,BK12,214
BK 13 - Coney Island,BK13,215
BK 14 - Flatbush/Midwood,BK14,216
BK 15 - Sheepshead Bay,BK15,217
BK 16 - Brownsville,BK16,218
BK 17 - East Flatbush,BK17,219
BK 18 - Flatlands/Canarsie,BK18,220
BX 01 - Mott Haven/Melrose,BX01,201
BX 02 - Hunts Point/Longwood,BX02,201
BX 03 - Morrisania/Crotona,BX03,202
BX 04 - Highbridge/Concourse,BX04,221
BX 05 - Fordham/University Heights,BX05,222
BX 06 - Belmont/East Tremont,BX06,202
BX 07 - Kingsbridge Heights/Bedford,BX07,223
BX 08 - Riverdale/Fieldston,BX08,224
BX 09 - Parkchester/Soundview,BX09,225
BX 10 - Throgs Neck/Co-op City,BX10,226
BX 11 - Morris Park/Bronxdale,BX11,227
BX 12 - Williamsbridge/Baychester,BX12,228
MN 01 - Financial District,MN01,101
MN 02 - Greenwich Village/Soho,MN02,101
MN 03 - Lower East Side/Chinatown,MN03,229
MN 04 - Clinton/Chelsea,MN04,103
MN 05 - Midtown,MN05,103
MN 06 - Stuyvesant Town/Turtle Bay,MN06,230
MN 07 - Upper West Side,MN07,231
MN 08 - Upper East Side,MN08,232
MN 09 - Morningside Heights/Hamilton,MN09,233
MN 10 - Central Harlem,MN10,234
MN 11 - East Harlem,MN11,235
MN 12 - Washington Heights/Inwood,MN12,236
QN 01 - Astoria,QN01,237
QN 02 - Woodside/Sunnyside,QN02,238
QN 03 - Jackson Heights,QN03,239
QN 04 - Elmhurst/Corona,QN04,240
QN 05 - Ridgewood/Maspeth,QN05,241
QN 06 - Rego Park/Forest Hills,QN06,242
QN 07 - Flushing/Whitestone,QN07,243
QN 08 - Hillcrest/Fresh Meadows,QN08,244
QN 09 - Kew Gardens/Woodhaven,QN09,245
QN 10 - South Ozone Park/Howard Beach,QN10,246
QN 11 - Bayside/Little Neck,QN11,247
QN 12 - Jamaica/Hollis,QN12,248
QN 13 - Queens Village,QN13,249
QN 14 - Rockaway/Broad Channel,QN14,250
SI 01 - St. George/Stapleton,SI01,251
SI 02 - South Beach/Willowbrook,SI02,252
SI 03 - Tottenville/Great Kills,SI03,253
