short_name,long_name,Community District,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
lp_all,"Notices of foreclosure, all residential properties",MN 02 - Greenwich Village/Soho,4,17,13,5,4,8,11,5,9,40,21,33,14,19,20,9,8,17,16,9,5,6,20
lp_all,"Notices of foreclosure, all residential properties",MN 01 - Financial District,10,8,58,9,13,11,8,20,26,234,70,45,54,56,41,45,34,29,37,22,14,138,21
lp_all,"Notices of foreclosure, all residential properties",MN 03 - Lower East Side/Chinatown,6,2,6,3,2,1,5,9,5,20,24,8,8,13,9,14,7,26,13,5,5,10,5
lp_all,"Notices of foreclosure, all residential properties",MN 04 - Clinton/Chelsea,9,8,7,13,11,5,19,24,30,69,181,54,46,49,47,34,30,26,25,34,7,16,22
lp_all,"Notices of foreclosure, all residential properties",MN 05 - Midtown,5,14,13,16,11,11,13,14,18,286,172,87,53,24,29,16,26,24,29,19,9,75,22
lp_all,"Notices of foreclosure, all residential properties",MN 06 - Stuyvesant Town/Turtle Bay,17,19,21,19,15,18,17,20,28,75,47,34,30,36,28,45,28,28,33,129,19,21,30
lp_all,"Notices of foreclosure, all residential properties",MN 07 - Upper West Side,15,24,24,30,20,16,27,26,29,55,77,77,32,57,42,32,37,28,32,38,9,11,26
lp_all,"Notices of foreclosure, all residential properties",MN 08 - Upper East Side,25,21,36,25,24,26,27,23,24,68,142,58,41,53,44,33,38,44,44,36,27,20,24
lp_all,"Notices of foreclosure, all residential properties",MN 09 - Morningside Heights/Hamilton,59,44,31,24,17,21,14,14,39,28,47,47,23,35,27,14,14,14,7,4,9,18,6
lp_all,"Notices of foreclosure, all residential properties",MN 10 - Central Harlem,137,56,67,64,48,36,42,58,78,103,106,84,66,88,59,55,44,38,43,51,24,21,32
lp_all,"Notices of foreclosure, all residential properties",MN 11 - East Harlem,34,20,8,10,9,10,6,10,30,81,35,29,32,27,13,6,13,8,10,13,2,11,18
lp_all,"Notices of foreclosure, all residential properties",MN 12 - Washington Heights/Inwood,30,17,18,7,21,12,19,34,17,31,36,27,33,19,19,9,8,11,8,6,,4,8
lp_all,"Notices of foreclosure, all residential properties",BX 01 - Mott Haven/Melrose,29,24,24,28,30,23,31,46,37,65,73,42,59,63,55,47,31,34,24,33,13,10,23
lp_all,"Notices of foreclosure, all residential properties",BX 02 - Hunts Point/Longwood,28,39,34,21,27,37,31,46,45,66,52,42,64,77,54,45,45,35,18,32,9,12,19
lp_all,"Notices of foreclosure, all residential properties",BX 03 - Morrisania/Crotona,31,58,61,52,37,42,60,88,70,72,111,80,74,114,85,98,72,57,51,24,27,17,35
lp_all,"Notices of foreclosure, all residential properties",BX 04 - Highbridge/Concourse,30,49,32,25,30,32,57,60,75,83,71,66,71,92,79,63,68,41,28,44,15,20,29
lp_all,"Notices of foreclosure, all residential properties",BX 05 - Fordham/University Heights,38,57,53,45,34,38,56,55,70,82,79,54,76,73,78,72,46,48,30,24,7,16,27
lp_all,"Notices of foreclosure, all residential properties",BX 06 - Belmont/East Tremont,42,46,53,53,48,33,78,104,88,96,98,76,83,128,79,94,62,60,28,30,18,12,29
lp_all,"Notices of foreclosure, all residential properties",BX 07 - Kingsbridge Heights/Bedford,41,54,54,43,40,29,55,63,62,61,64,66,65,83,62,40,51,27,21,29,5,9,27
lp_all,"Notices of foreclosure, all residential properties",BX 08 - Riverdale/Fieldston,11,21,21,24,22,17,32,30,41,73,48,40,47,57,50,40,37,29,18,26,11,10,24
lp_all,"Notices of foreclosure, all residential properties",BX 09 - Parkchester/Soundview,202,236,234,216,182,146,210,305,261,347,364,279,320,424,323,354,318,232,189,163,75,63,114
lp_all,"Notices of foreclosure, all residential properties",BX 10 - Throgs Neck/Co-op City,62,65,83,86,80,72,116,144,181,224,249,200,191,298,207,242,198,134,158,115,42,56,90
lp_all,"Notices of foreclosure, all residential properties",BX 11 - Morris Park/Bronxdale,79,107,125,137,97,102,139,170,179,213,209,173,194,230,176,203,172,130,111,88,51,53,76
lp_all,"Notices of foreclosure, all residential properties",BX 12 - Williamsbridge/Baychester,248,313,371,324,321,260,361,537,523,605,572,495,531,738,630,571,578,460,380,320,129,142,256
lp_all,"Notices of foreclosure, all residential properties",BK 01 - Greenpoint/Williamsburg,56,43,37,43,32,41,70,54,97,241,211,160,103,110,114,75,66,109,79,69,39,85,88
lp_all,"Notices of foreclosure, all residential properties",BK 02 - Fort Greene/Brooklyn Heights,84,44,62,78,70,50,59,95,112,173,105,126,52,91,61,61,54,59,56,55,29,34,45
lp_all,"Notices of foreclosure, all residential properties",BK 03 - Bedford Stuyvesant,473,393,500,494,418,447,671,866,742,911,829,626,453,596,509,351,348,339,263,255,117,179,210
lp_all,"Notices of foreclosure, all residential properties",BK 04 - Bushwick,242,273,261,251,199,216,277,439,413,476,425,335,280,339,211,162,178,167,119,112,64,75,90
lp_all,"Notices of foreclosure, all residential properties",BK 05 - East New York/Starrett City,387,406,458,445,354,375,561,910,860,1010,939,747,676,815,734,654,612,590,461,400,167,231,302
lp_all,"Notices of foreclosure, all residential properties",BK 06 - Park Slope/Carroll Gardens,43,33,50,42,32,35,48,70,59,92,69,60,55,41,50,48,36,24,31,34,8,14,53
lp_all,"Notices of foreclosure, all residential properties",BK 07 - Sunset Park,73,71,62,56,64,51,66,86,94,143,102,74,100,97,83,63,59,56,32,50,23,31,48
lp_all,"Notices of foreclosure, all residential properties",BK 08 - Crown Heights/Prospect Heights,175,162,199,178,178,134,184,267,232,319,294,193,193,214,179,157,145,144,122,97,54,72,89
lp_all,"Notices of foreclosure, all residential properties",BK 09 - South Crown Heights/Lefferts Gardens,88,80,99,96,103,94,106,196,154,215,215,162,128,158,143,116,133,114,104,97,48,73,72
lp_all,"Notices of foreclosure, all residential properties",BK 10 - Bay Ridge/Dyker Heights,35,30,42,34,32,41,37,55,75,123,80,77,65,70,79,79,60,55,61,59,15,39,57
lp_all,"Notices of foreclosure, all residential properties",BK 11 - Bensonhurst,53,29,48,37,37,43,60,91,83,132,110,91,64,115,99,76,78,67,51,42,22,39,47
lp_all,"Notices of foreclosure, all residential properties",BK 12 - Borough Park,83,52,82,68,44,61,70,118,150,393,365,235,184,293,264,212,207,227,202,152,94,120,154
lp_all,"Notices of foreclosure, all residential properties",QN 03 - Jackson Heights,143,103,129,119,117,108,188,360,435,634,378,286,345,360,293,285,227,192,166,136,62,90,85
lp_all,"Notices of foreclosure, all residential properties",QN 04 - Elmhurst/Corona,48,52,45,50,54,62,74,150,204,274,193,118,168,208,136,138,117,76,76,35,26,84,30
lp_all,"Notices of foreclosure, all residential properties",QN 05 - Ridgewood/Maspeth,92,106,106,102,109,94,141,182,245,358,299,185,234,290,216,209,158,133,128,109,36,62,69
lp_all,"Notices of foreclosure, all residential properties",QN 06 - Rego Park/Forest Hills,28,19,23,28,20,27,45,46,53,86,86,43,37,70,54,42,51,39,26,29,16,15,17
lp_all,"Notices of foreclosure, all residential properties",QN 07 - Flushing/Whitestone,112,107,112,94,84,101,133,230,223,344,287,243,276,361,243,259,204,151,211,106,77,79,62
lp_all,"Notices of foreclosure, all residential properties",BK 13 - Coney Island,49,24,42,31,33,29,49,89,69,151,126,80,81,105,85,85,87,81,78,65,25,54,54
lp_all,"Notices of foreclosure, all residential properties",BK 14 - Flatbush/Midwood,79,66,84,67,74,67,99,134,129,231,222,136,125,193,154,125,139,112,106,95,50,64,93
lp_all,"Notices of foreclosure, all residential properties",BK 15 - Sheepshead Bay,80,54,89,78,67,74,94,173,191,307,263,235,194,237,210,208,175,175,133,191,64,63,125
lp_all,"Notices of foreclosure, all residential properties",BK 16 - Brownsville,154,170,165,175,175,193,255,369,328,361,371,263,247,329,270,227,220,221,187,173,70,95,131
lp_all,"Notices of foreclosure, all residential properties",BK 17 - East Flatbush,271,303,364,365,291,317,371,547,519,624,575,464,448,618,524,492,496,438,380,340,173,186,278
lp_all,"Notices of foreclosure, all residential properties",QN 08 - Hillcrest/Fresh Meadows,80,59,78,79,53,73,112,176,193,310,204,143,159,185,156,167,150,87,108,108,47,50,63
lp_all,"Notices of foreclosure, all residential properties",QN 09 - Kew Gardens/Woodhaven,207,208,199,187,179,190,294,550,588,849,628,393,496,571,440,414,329,279,215,174,80,87,95
lp_all,"Notices of foreclosure, all residential properties",QN 10 - South Ozone Park/Howard Beach,243,253,259,259,237,210,339,588,632,838,634,414,472,566,489,445,446,333,301,290,91,134,157
lp_all,"Notices of foreclosure, all residential properties",QN 11 - Bayside/Little Neck,65,58,65,49,58,57,80,120,141,204,177,112,138,162,149,150,112,127,104,103,37,46,56
lp_all,"Notices of foreclosure, all residential properties",QN 12 - Jamaica/Hollis,818,901,934,873,797,816,1227,1910,1815,2136,1519,1078,1355,1670,1359,1397,1327,1109,951,876,370,397,461
lp_all,"Notices of foreclosure, all residential properties",BK 18 - Flatlands/Canarsie,364,362,452,463,401,383,521,774,784,1108,909,770,728,993,844,741,787,731,613,513,229,315,466
lp_all,"Notices of foreclosure, all residential properties",QN 01 - Astoria,45,46,52,50,47,40,74,107,108,153,238,93,107,132,97,97,79,82,50,76,31,27,46
lp_all,"Notices of foreclosure, all residential properties",QN 02 - Woodside/Sunnyside,17,30,19,34,32,28,41,73,85,140,115,75,80,84,65,59,65,53,42,39,15,47,25
lp_all,"Notices of foreclosure, all residential properties",QN 13 - Queens Village,555,556,593,543,484,454,660,1079,1088,1433,1059,730,887,1155,950,1002,897,764,718,649,252,321,344
lp_all,"Notices of foreclosure, all residential properties",QN 14 - Rockaway/Broad Channel,182,165,141,139,147,182,287,466,435,558,427,269,379,564,424,373,336,270,200,197,93,100,92
lp_all,"Notices of foreclosure, all residential properties",SI 01 - St. George/Stapleton,367,384,372,377,373,382,471,610,761,1054,751,467,612,895,705,720,719,573,504,411,140,165,267
lp_all,"Notices of foreclosure, all residential properties",SI 02 - South Beach/Willowbrook,178,154,126,141,175,172,221,277,344,499,402,267,285,425,402,343,344,319,218,215,67,81,153
lp_all,"Notices of foreclosure, all residential properties",SI 03 - Tottenville/Great Kills,190,193,197,241,238,232,302,377,436,639,569,327,414,623,511,471,508,471,371,312,120,120,203
